Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Total Min,90s Played,Goals,Ast,G+A,Non-PK Goals,PK,PKattempts,Crd-Yellow,Crd-Red,xGoals,Non-PK xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals per 90,Assists per 90,Goals +Assists  per 90,Non-PK Goals per 90,Non-PK Goals/Assists per 90,xG per 90,xAG per 90,xG+xAG per 90,Non PK xG per 90,xNon PK Goals + Assisted Goals per 90,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aerials Lost,Won%,Weekly Wages,Annual Wages,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Thomas Kaminski,BEL,GK,Luton Town,31,1992,34,34,"3,060",34,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,54,3,0,100,"£ 25,000 (€ 29,050, $30,971)","£ 1,300,000 (€ 1,510,580, $1,610,497)",90,100,90,34,0,,0,0.74,47,75,-28,-0.82,,38.7,71.1,-32.4,-0.95,
Loris Karius,GER,GK,Newcastle Utd,30,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",90,3,90,1,0,,20,0,1,4,-3,-3,-3.56,0.2,2.8,-2.7,-2.69,-2.99
Michael Keane,ENG,DF,Everton,31,1993,8,4,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0,0.7,4,14,3,0.21,0,0.21,0.21,0.21,0.14,0,0.14,0.14,0.14,0,0,5,0,0,0,5,3,0,1,0,26,16,10,61.5,"£ 80,000 (€ 92,959, $99,107)","£ 4,160,000 (€ 4,833,857, $5,153,589)",55,14.3,83,3,4,27,23,0.38,2,13,-11,-2.26,-2.23,5.6,10.2,-4.6,-0.95,-1.07
Thilo Kehrer,GER,"DF,MF",West Ham,27,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,33.3,"£ 80,000 (€ 92,959, $99,107)","£ 4,160,000 (€ 4,833,857, $5,153,589)",6,0.7,,0,4,6,14,1.75,0,1,-1,-4.09,-3.85,0.5,0.5,0.1,0.29,0.76
Caoimhín Kelleher,IRL,GK,Liverpool,25,1998,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,100,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",90,29.4,90,10,0,,23,2.6,26,11,15,1.5,0.42,25.7,10.3,15.4,1.54,0.66
Lloyd Kelly,ENG,DF,Bournemouth,25,1998,19,15,"1,362",15.1,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.5,15,54,26,0,0.07,0.07,0,0.07,0.02,0.08,0.1,0.02,0.1,0,0,15,13,0,20,9,19,0,1,0,109,26,16,61.9,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",69,44.8,82,10,5,28,0,1.15,18,30,-12,-0.79,-0.84,21.2,22.8,-1.6,-0.11,-0.14
Omari Kellyman,ENG,FW,Aston Villa,18,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.45,0,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,14,0.5,,0,1,14,7,0,0,0,0,0,-0.62,0.1,0.6,-0.5,-3.2,-3.41
Milos Kerkez,HUN,DF,Bournemouth,20,2003,26,20,"1,802",20,0,1,1,0,0,0,3,0,1.1,1.1,0.7,1.7,40,42,90,0,0.05,0.05,0,0.05,0.05,0.03,0.09,0.05,0.09,1,0,24,21,1,52,19,25,1,0,1,90,18,31,36.7,"£ 30,000 (€ 34,860, $37,165)","£ 1,560,000 (€ 1,812,696, $1,932,596)",70,61.4,82,10,6,25,3,1.19,24,35,-11,-0.53,-0.53,27.6,34.3,-6.7,-0.32,-0.76
Kaine Kesler-Hayden,ENG,DF,Aston Villa,21,2002,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,0.1,,0,2,1,11,3,0,0,0,0,-0.62,0,0.1,-0.1,-4.97,-5.17
Max Kilman,ENG,DF,Wolves,26,1997,33,33,"2,970",33,2,0,2,2,0,0,7,0,1.8,1.8,1.3,3,22,107,5,0.06,0,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,0,0,35,16,2,6,36,18,0,1,0,159,82,32,71.9,"£ 50,000 (€ 58,099, $61,942)","£ 2,600,000 (€ 3,021,160, $3,220,993)",90,100,90,34,0,,0,1.26,46,54,-8,-0.24,,43.1,56.4,-13.2,-0.39,
Jakub Kiwior,POL,DF,Arsenal,24,2000,18,11,943,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4,55,16,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,0,0,10,3,0,12,8,12,0,0,0,35,15,11,57.7,"£ 58,000 (€ 67,395, $71,853)","£ 3,016,000 (€ 3,504,546, $3,736,352)",52,30.8,80,7,7,9,16,2.61,39,8,31,2.96,1.9,24.8,5.3,19.5,1.86,0.85
Justin Kluivert,NED,"MF,FW",Bournemouth,24,1999,27,21,"1,542",17.1,6,1,7,6,0,0,4,0,4.8,4.8,1.7,6.4,50,42,92,0.35,0.06,0.41,0.35,0.41,0.28,0.1,0.38,0.28,0.38,0,0,47,22,5,25,6,12,0,0,0,76,10,20,33.3,"£ 80,000 (€ 92,959, $99,107)","£ 4,160,000 (€ 4,833,857, $5,153,589)",58,52.8,67,0,6,24,6,1.29,25,19,6,0.33,1.39,29.2,23.2,6,0.34,0.77
Luca Koleosho,ITA,"MF,FW",Burnley,19,2004,15,13,974,10.8,1,1,2,1,0,0,0,0,2,2,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3,0,0,18,13,8,23,2,4,1,0,0,46,2,27,6.9,"£ 10,000 (€ 11,620, $12,388)","£ 520,000 (€ 604,232, $644,199)",65,31.8,69,0,2,38,0,0.47,11,23,-12,-1.11,-0.25,9,15.4,-6.5,-0.6,0.16
Ibrahima Konaté,FRA,DF,Liverpool,24,1999,21,16,"1,512",16.8,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,112,3,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,1,1,25,13,0,1,20,22,0,0,0,97,77,31,71.3,"£ 70,000 (€ 81,339, $86,719)","£ 3,640,000 (€ 4,229,625, $4,509,391)",72,51.4,87,14,5,20,7,2,38,18,20,1.14,-0.13,41.3,21.9,19.4,1.11,0.09
